repo,login,year,url,title,reason,comment_count,num_issues,num_stars
WarEmu/WarBugs,Kaelang,"""2019-01-22T01:04:43Z""","""https://github.com/WarEmu/WarBugs/issues/13182""","""Can't disband group when leader, if no one else is in group.""","""too heated""",10,5519,32
pterodactyl/whmcs,TrixterTheTux,"""2020-07-19T19:33:59Z""","""https://github.com/pterodactyl/whmcs/issues/59""","""One last thing sorry for creating another issue I didnt know where else to comment or ask""","""too heated""",14,57,32
cordova-rtc/cordova-plugin-iosrtc,hthetiot,"""2020-07-06T17:45:06Z""","""https://github.com/cordova-rtc/cordova-plugin-iosrtc/issues/536""","""Add support for navigator.mediaDevices.addEventListener devicechange event""","""too heated""",18,250,96
nextcloud/photos,skjnldsv,"""2020-02-25T17:33:24Z""","""https://github.com/nextcloud/photos/issues/208""","""PNGs aren't recognized as photos""","""too heated""",24,287,125
Caishangqi/GonerAge-IVworld,Caishangqi,"""2020-07-04T00:21:45Z""","""https://github.com/Caishangqi/GonerAge-IVworld/issues/52""","""极端问题处理与游戏环境改善(人文项)""","""too heated""",9,85,3
strapi/strapi,alexandrebodin,"""2020-08-03T17:51:30Z""","""https://github.com/strapi/strapi/issues/7304""","""error MissingSchemaError: Schema hasn't been registered for model""","""too heated""",8,3538,13202
openssl/openssl,mattcaswell,"""2020-06-14T19:33:21Z""","""https://github.com/openssl/openssl/issues/12148""","""Remove unnecessary racially offensive terms from code""","""too heated""",5,2397,2871
nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654,11453
LedgerHQ/ledger-live-mobile,cthepot-ledger,"""2019-09-26T09:05:49Z""","""https://github.com/LedgerHQ/ledger-live-mobile/issues/1050""","""Ethereum Sync error in 1.5.0 3145775""","""too heated""",25,50,55
pi-hole/AdminLTE,PromoFaux,"""2020-08-03T08:52:56Z""","""https://github.com/pi-hole/AdminLTE/issues/1587""","""Disable for custom time in seconds and not in minutes""","""too heated""",26,311,454
SpEcHiDe/PublicLeech,SpEcHiDe,"""2020-06-23T17:40:58Z""","""https://github.com/SpEcHiDe/PublicLeech/issues/65""","""without replay any commands""","""too heated""",9,163,229
