,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url
68,parkervcp/eggs,parkervcp,"""2021-12-11T10:23:16Z""","""https://github.com/parkervcp/eggs/issues/1459""","""[Bug]: we can no longer choose our version with egg of PocketMine""","""too heated""",26,546.0,508.0,https://api.github.com/repos/parkervcp/eggs/contributors
69,Icinga/icingaweb2,Al2Klimov,"""2019-11-30T14:04:18Z""","""https://github.com/Icinga/icingaweb2/issues/4007""","""Require PHP 7.0""","""too heated""",6,322.0,67.0,https://api.github.com/repos/Icinga/icingaweb2/contributors
70,mongo-express/mongo-express,JafarAkhondali,"""2018-05-07T08:07:03Z""","""https://github.com/mongo-express/mongo-express/issues/411""","""Upgrade mongodb driver to 3.0 for MongoDB 3.6 support""","""too heated""",5,63.0,509.0,https://api.github.com/repos/mongo-express/mongo-express/contributors
71,vuejs/vue,posva,"""2020-07-01T12:33:15Z""","""https://github.com/vuejs/vue/issues/11483""","""Root level script tag should not be executed""","""too heated""",7,693.0,18046.0,https://api.github.com/repos/vuejs/vue/contributors
72,div-bargali/Data-Structures-and-Algorithms,div-bargali,"""2020-10-05T15:25:29Z""","""https://github.com/div-bargali/Data-Structures-and-Algorithms/issues/1""","""Implement Data Structures and Algorithms""","""too heated""",27,38.0,72.0,https://api.github.com/repos/div-bargali/Data-Structures-and-Algorithms/contributors
73,pinojs/pino,mcollina,"""2020-10-17T01:01:23Z""","""https://github.com/pinojs/pino/issues/921""","""Including a BigInt in the merging object throws an exception""","""too heated""",22,241.0,2009.0,https://api.github.com/repos/pinojs/pino/contributors
74,uBlockOrigin/uAssets,okiehsch,"""2021-09-30T15:53:47Z""","""https://github.com/uBlockOrigin/uAssets/issues/10100""","""cn.bing.com""","""too heated""",6,3779.0,355.0,https://api.github.com/repos/uBlockOrigin/uAssets/contributors
75,node-fetch/node-fetch,jimmywarting,"""2021-09-01T16:41:32Z""","""https://github.com/node-fetch/node-fetch/issues/1263""","""ESM only breaks everything""","""too heated""",64,331.0,1329.0,https://api.github.com/repos/node-fetch/node-fetch/contributors
76,jhipster/generator-jhipster,mshima,"""2020-10-09T16:12:36Z""","""https://github.com/jhipster/generator-jhipster/issues/12702""","""Hexagonal architecture friendly.""","""too heated""",4,1123.0,1516.0,https://api.github.com/repos/jhipster/generator-jhipster/contributors
77,GTNewHorizons/GT-New-Horizons-Modpack,Glease,"""2020-02-27T11:12:49Z""","""https://github.com/GTNewHorizons/GT-New-Horizons-Modpack/issues/5656""","""Interaction of Large Sifter Bonus and Platinum Line""","""too heated""",30,3493.0,114.0,https://api.github.com/repos/GTNewHorizons/GT-New-Horizons-Modpack/contributors
78,spyder-ide/spyder,ccordoba12,"""2021-04-05T15:21:59Z""","""https://github.com/spyder-ide/spyder/issues/15113""","""Spyder 5 is broken in Anaconda""","""too heated""",12,3793.0,1090.0,https://api.github.com/repos/spyder-ide/spyder/contributors
79,spyder-ide/spyder,ccordoba12,"""2021-04-05T15:21:59Z""","""https://github.com/spyder-ide/spyder/issues/15113""","""Spyder 5 is broken in Anaconda""","""too heated""",13,3793.0,1090.0,https://api.github.com/repos/spyder-ide/spyder/contributors
80,NixOS/nixpkgs,mweinelt,"""2021-06-12T15:37:08Z""","""https://github.com/NixOS/nixpkgs/issues/126679""","""Remove `python3Packages.wled` package""","""too heated""",5,7878.0,2482.0,https://api.github.com/repos/NixOS/nixpkgs/contributors
81,NixOS/nixpkgs,mweinelt,"""2021-06-12T15:30:49Z""","""https://github.com/NixOS/nixpkgs/issues/126677""","""Remove `python3Packages.ambee` package""","""too heated""",9,7878.0,2482.0,https://api.github.com/repos/NixOS/nixpkgs/contributors
82,ansible/ansible,sivel,"""2017-03-16T18:09:31Z""","""https://github.com/ansible/ansible/issues/22716""","""Using include asynchronously with with_items""","""too heated""",13,2779.0,5266.0,https://api.github.com/repos/ansible/ansible/contributors
83,home-assistant/core,MartinHjelmare,"""2021-05-04T16:17:30Z""","""https://github.com/home-assistant/core/issues/50073""","""Modbus is failing in all possible ways""","""too heated""",8,13816.0,10916.0,https://api.github.com/repos/home-assistant/core/contributors
84,home-assistant/core,frenck,"""2021-11-20T18:14:15Z""","""https://github.com/home-assistant/core/issues/60034""","""Tuya; delayed/missing state updates: Confirmed Tuya Cloud issue, awaiting upstream fix""","""too heated""",100,13816.0,10916.0,https://api.github.com/repos/home-assistant/core/contributors
85,utk-cs/CS340-Fall-2021,bepri,"""2021-09-09T19:27:24Z""","""https://github.com/utk-cs/CS340-Fall-2021/issues/142""","""Cannot be closed""","""too heated""",19,9.0,5.0,https://api.github.com/repos/utk-cs/CS340-Fall-2021/contributors
86,utk-cs/CS340-Fall-2021,dearvarun,"""2021-09-09T19:27:24Z""","""https://github.com/utk-cs/CS340-Fall-2021/issues/142""","""Test test test""","""too heated""",16,9.0,5.0,https://api.github.com/repos/utk-cs/CS340-Fall-2021/contributors
87,HandBrake/HandBrake,sr55,"""2021-07-19T00:49:56Z""","""https://github.com/HandBrake/HandBrake/issues/3697""","""Removing the preset side panel and replacing it with a dropdown menu is less user friendly and harder to work with.""","""too heated""",17,988.0,1996.0,https://api.github.com/repos/HandBrake/HandBrake/contributors
88,mdn/translated-content,Rumyra,"""2021-08-22T13:44:41Z""","""https://github.com/mdn/translated-content/issues/2193""","""Separate zh-cn content team""","""too heated""",9,743.0,481.0,https://api.github.com/repos/mdn/translated-content/contributors
89,mpv-player/mpv,haasn,"""2021-09-13T12:56:58Z""","""https://github.com/mpv-player/mpv/issues/9208""","""youtube-dl is dead, add yt-dlp as default""","""too heated""",15,1492.0,3683.0,https://api.github.com/repos/mpv-player/mpv/contributors
90,Stellarium/stellarium,github-actions[bot],"""2020-10-10T11:45:40Z""","""https://github.com/Stellarium/stellarium/issues/1317""","""Ocular Plugin: Mouse Navigation""","""too heated""",22,556.0,684.0,https://api.github.com/repos/Stellarium/stellarium/contributors
91,Stellarium/stellarium,gzotti,"""2020-10-10T11:45:40Z""","""https://github.com/Stellarium/stellarium/issues/1317""","""Ocular Plugin: Mouse Navigation""","""too heated""",22,556.0,684.0,https://api.github.com/repos/Stellarium/stellarium/contributors
92,Stellarium/stellarium,alex-w,"""2020-10-10T11:45:40Z""","""https://github.com/Stellarium/stellarium/issues/1317""","""Ocular Plugin: Mouse Navigation""","""too heated""",22,556.0,684.0,https://api.github.com/repos/Stellarium/stellarium/contributors
93,microsoft/vscode,joaomoreno,"""2021-02-10T15:51:57Z""","""https://github.com/microsoft/vscode/issues/116341""","""⚠️🚧👷 Scheduled rename `master` branch to `main`""","""too heated""",5,42722.0,19951.0,https://api.github.com/repos/microsoft/vscode/contributors
94,nextcloud/server,szaimen,"""2021-01-29T23:36:44Z""","""https://github.com/nextcloud/server/issues/25398""","""Apps do not appear in the App Store - https://apps.nextcloud.com timeout""","""too heated""",10,4890.0,5947.0,https://api.github.com/repos/nextcloud/server/contributors
95,microsoft/vscode-python,karrtikr,"""2020-11-03T06:33:27Z""","""https://github.com/microsoft/vscode-python/issues/16613""","""While creating virtual environment Python extension does not prompt with venv notification""","""too heated""",48,3131.0,594.0,https://api.github.com/repos/microsoft/vscode-python/contributors
96,microsoft/vscode-python,brettcannon,"""2020-06-12T11:33:32Z""","""https://github.com/microsoft/vscode-python/issues/12313""","""Details on the A/B experiment removing `python.pythonPath` support""","""too heated""",46,3131.0,594.0,https://api.github.com/repos/microsoft/vscode-python/contributors
97,Monika-After-Story/MonikaModDev,multimokia,"""2021-09-05T00:18:41Z""","""https://github.com/Monika-After-Story/MonikaModDev/issues/7711""","""Four Years Later.""","""too heated""",24,2247.0,213.0,https://api.github.com/repos/Monika-After-Story/MonikaModDev/contributors
98,audacity/audacity,Tantacrul,"""2021-07-06T17:56:01Z""","""https://github.com/audacity/audacity/issues/1245""","""VOTING! For the new fork""","""too heated""",29,1343.0,3288.0,https://api.github.com/repos/audacity/audacity/contributors
99,golang/go,ianlancetaylor,"""2019-07-22T21:14:30Z""","""https://github.com/golang/go/issues/33232""","""spec: allow 'any' for 'interface{}' in non-constraint contexts""","""too heated""",87,10716.0,14994.0,https://api.github.com/repos/golang/go/contributors
100,strapi/strapi,alexandrebodin,"""2020-03-02T16:51:24Z""","""https://github.com/strapi/strapi/issues/5385""","""Can't create \""circular referencing\"" Content Type MongoDB""","""too heated""",4,2341.0,10481.0,https://api.github.com/repos/strapi/strapi/contributors
101,rms-open-letter/rms-open-letter.github.io,neilmcgovern,"""2021-03-23T20:08:16Z""","""https://github.com/rms-open-letter/rms-open-letter.github.io/issues/120""","""Expanding scope: revoking copyright assignments""","""too heated""",5,182.0,724.0,https://api.github.com/repos/rms-open-letter/rms-open-letter.github.io/contributors
102,courses-ionio/sw,epidrome,"""2020-02-13T09:35:54Z""","""https://github.com/courses-ionio/sw/issues/828""","""Ανακοινώσεις""","""too heated""",9,24.0,15.0,https://api.github.com/repos/courses-ionio/sw/contributors
103,yogstation13/Yogstation,adamsong,"""2021-08-31T20:38:49Z""","""https://github.com/yogstation13/Yogstation/issues/12206""","""Non-Stealth Antags get a Sec HUD icon""","""too heated""",7,780.0,20.0,https://api.github.com/repos/yogstation13/Yogstation/contributors
104,SlimeKnights/TinkersConstruct,KnightMiner,"""2018-09-26T21:57:44Z""","""https://github.com/SlimeKnights/TinkersConstruct/issues/3651""","""Forge fix #4898 since build 2716 causes tconstruct-API to report errors in minecraft.log""","""too heated""",9,815.0,249.0,https://api.github.com/repos/SlimeKnights/TinkersConstruct/contributors
105,pmndrs/react-spring,joshuaellis,"""2021-03-23T16:55:35Z""","""https://github.com/pmndrs/react-spring/issues/1359""","""Set in [x, set] = useSpring(() => ({ ... })) is not callable""","""too heated""",11,485.0,3049.0,https://api.github.com/repos/pmndrs/react-spring/contributors
106,neovim/neovim,clason,"""2022-07-13T10:59:23Z""","""https://github.com/neovim/neovim/issues/19350""","""Tracking issue: treesitter highlighting""","""too heated""",4,2967.0,12645.0,https://api.github.com/repos/neovim/neovim/contributors
