,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url,api_url,issue_id
69,hashicorp/nomad,shoenig,"""2019-09-26T12:58:51Z""","""https://github.com/hashicorp/nomad/issues/6385""","""iptables entries are not reconciled""","""too heated""",18,1650,2696,https://api.github.com/repos/hashicorp/nomad/contributors,https://api.github.com/repos/hashicorp/nomad/issues/6385,498868764
70,citizenfx/fivem,blattersturm,"""2022-03-30T16:07:46Z""","""https://github.com/citizenfx/fivem/issues/1356""","""! Exploit crashing players on every server""","""too heated""",16,568,549,https://api.github.com/repos/citizenfx/fivem/contributors,https://api.github.com/repos/citizenfx/fivem/issues/1356,1186681963
71,zammad/zammad,zammad-sync,"""2022-12-16T11:53:58Z""","""https://github.com/zammad/zammad/issues/4431""","""Missing rake task to fix json values migrated from maria/mysql to postgres""","""too heated""",12,913,458,https://api.github.com/repos/zammad/zammad/contributors,https://api.github.com/repos/zammad/zammad/issues/4431,1500084349
72,EbookFoundation/free-programming-books,davorpa,"""2021-11-03T10:28:56Z""","""https://github.com/EbookFoundation/free-programming-books/issues/6590""","""docs: Homogenize governance (CoC, CONTRIBUTING & HOWTO) across files""","""too heated""",9,432,44771,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors,https://api.github.com/repos/EbookFoundation/free-programming-books/issues/6590,1043368759
73,EbookFoundation/free-programming-books,davorpa,"""2020-11-20T23:16:43Z""","""https://github.com/EbookFoundation/free-programming-books/issues/5176""","""Screen cast mark up look strange on the site""","""too heated""",9,432,44771,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors,https://api.github.com/repos/EbookFoundation/free-programming-books/issues/5176,747855745
74,EbookFoundation/free-programming-books,eshellman,"""2020-11-20T23:16:43Z""","""https://github.com/EbookFoundation/free-programming-books/issues/5176""","""Mark up look strange on the site when using pipes `|`""","""too heated""",9,432,44771,https://api.github.com/repos/EbookFoundation/free-programming-books/contributors,https://api.github.com/repos/EbookFoundation/free-programming-books/issues/5176,747855745
75,strapi/strapi,derrickmehaffy,"""2019-06-07T10:17:02Z""","""https://github.com/strapi/strapi/issues/3399""","""Administrator model customization""","""too heated""",25,2952,9678,https://api.github.com/repos/strapi/strapi/contributors,https://api.github.com/repos/strapi/strapi/issues/3399,453440611
76,strapi/strapi,derrickmehaffy,"""2018-12-23T05:03:40Z""","""https://github.com/strapi/strapi/issues/2527""","""Support for GeoJSON Content Type ""","""too heated""",21,2952,9678,https://api.github.com/repos/strapi/strapi/contributors,https://api.github.com/repos/strapi/strapi/issues/2527,393724050
77,strapi/strapi,derrickmehaffy,"""2020-01-02T11:29:06Z""","""https://github.com/strapi/strapi/issues/4878""","""I can't access custom field from from users/me via GraphQL""","""too heated""",24,2952,9678,https://api.github.com/repos/strapi/strapi/contributors,https://api.github.com/repos/strapi/strapi/issues/4878,544542483
78,strapi/strapi,derrickmehaffy,"""2019-02-07T11:05:41Z""","""https://github.com/strapi/strapi/issues/2784""","""Add auto increment option to the model attributes""","""too heated""",10,2952,9678,https://api.github.com/repos/strapi/strapi/contributors,https://api.github.com/repos/strapi/strapi/issues/2784,407645854
79,strapi/strapi,derrickmehaffy,"""2019-11-18T11:31:42Z""","""https://github.com/strapi/strapi/issues/4547""","""Enable findOne by unique fields GraphQL""","""too heated""",11,2952,9678,https://api.github.com/repos/strapi/strapi/contributors,https://api.github.com/repos/strapi/strapi/issues/4547,524307759
80,termux/termux-packages,xtkoba,"""2021-07-26T17:22:34Z""","""https://github.com/termux/termux-packages/issues/10226""","""Mesa: glxgears crashes on 32bit ARM devices""","""too heated""",74,3838,2879,https://api.github.com/repos/termux/termux-packages/contributors,https://api.github.com/repos/termux/termux-packages/issues/10226,1208013839
